file_id,silence_ratio,condition,batched,batch_size,oom_fallback,wer,cer,hallucination_per_hour,rtf_mean,rtf_std,vad_time_s,n_chunks
L02,0.0046,B_batch,True,8,False,0.3563714902807775,0.16681867931411892,19.989748846745258,0.008975139194649958,2.0564593932264215e-05,119.99266433500452,156
L03,0.1715,A_prime,False,,False,0.15149040424663127,0.041178285009253544,69.60364590526171,0.02360528073767283,3.7275736827938444e-05,,
L03,0.1715,A_prime_batch,True,8,False,0.2968558595345039,0.20738227431626569,19.88675597293192,0.008291738469615501,9.18308918421972e-06,,145
L03,0.1715,B,False,,False,0.1518987341772152,0.04380012338062924,77.88979422731667,0.05155808886584989,4.2691135504652206e-05,116.37445252301404,483
L03,0.1715,B_batch,True,8,False,0.15618619844834628,0.045548015628213034,64.63195691202873,0.022307687842702623,2.097796618777449e-05,113.35502724599792,483
L04,0.1657,A_prime,False,,False,0.3024728956023876,0.09877865246584858,78.2073029193822,0.024520060657684615,1.0458622760996072e-05,,
L04,0.1657,A_prime_batch,True,8,False,0.420148617371178,0.2561935633248437,19.819658959021517,0.008639132307119228,6.719735257913223e-06,,225
L04,0.1657,B,False,,False,0.2956511146302838,0.09542139384116693,55.70931166860102,0.039365621365462906,0.00011294153560598742,173.8128496480058,486
L04,0.1657,B_batch,True,8,False,0.29272749421366795,0.09828664042602454,46.067315418266226,0.01585235256624154,1.1108973863061337e-05,181.24911640500068,486
L05,0.2002,A_prime,False,,False,0.40869927737632017,0.21627061191342115,116.57303370786518,0.02530612594106015,0.00018301643008874336,,
L05,0.2002,A_prime_batch,True,8,False,0.44288493607559754,0.2686345821122135,20.365168539325843,0.00853927907565784,5.590684545232939e-06,,171
L05,0.2002,B,False,,False,0.42481934408004446,0.2311359062180008,141.85393258426967,0.03697281406868521,0.00019352269160595706,137.54201483901124,213
L05,0.2002,B_batch,True,8,False,0.45525291828793774,0.2839588997563645,28.08988764044944,0.0100295451415584,1.532971245942732e-05,139.14330895300373,213
