epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,5225.34,0.91794,0.67709,1.13666,0.7911,0.81206,0.83344,0.54433,1.21183,0.98141,1.35239,0.00030606,0.00030606,0.00030606
69,5302,0.92596,0.68077,1.15454,0.78087,0.83793,0.84805,0.56709,1.17203,0.92287,1.33809,0.000297061,0.000297061,0.000297061
70,5378.97,0.90623,0.65999,1.13676,0.78432,0.82295,0.83214,0.56336,1.18252,0.89079,1.32723,0.000288062,0.000288062,0.000288062
71,5455.72,0.90837,0.6656,1.1453,0.82165,0.81935,0.83855,0.5648,1.16173,0.92815,1.31555,0.000279063,0.000279063,0.000279063
72,5532.34,0.89892,0.66548,1.1338,0.80188,0.82784,0.84352,0.55652,1.20681,0.88373,1.33529,0.000270064,0.000270064,0.000270064
73,5609.01,0.89076,0.65193,1.13154,0.77679,0.83264,0.84046,0.561,1.18093,0.91564,1.32848,0.000261065,0.000261065,0.000261065
74,5685.84,0.88729,0.64693,1.12979,0.78888,0.79483,0.83147,0.56061,1.22579,0.89378,1.3423,0.000252066,0.000252066,0.000252066
75,5762.62,0.90153,0.66033,1.13307,0.78808,0.81874,0.81036,0.56426,1.21076,0.91859,1.34019,0.000243067,0.000243067,0.000243067
76,5839.36,0.88897,0.64727,1.12603,0.77194,0.83271,0.83461,0.55984,1.20956,0.90354,1.3484,0.000234068,0.000234068,0.000234068
77,5916.04,0.88847,0.64744,1.12603,0.81758,0.79037,0.83322,0.56505,1.19093,0.86127,1.33963,0.000225068,0.000225068,0.000225068
78,5992.77,0.87395,0.63623,1.12024,0.78522,0.83993,0.84685,0.56106,1.18261,0.89427,1.32419,0.000216069,0.000216069,0.000216069
79,6069.5,0.86892,0.62564,1.11033,0.8212,0.81239,0.83996,0.56639,1.16992,0.89797,1.30787,0.00020707,0.00020707,0.00020707
80,6146.28,0.86411,0.62575,1.11272,0.78741,0.80599,0.81798,0.55836,1.19623,0.92768,1.33521,0.000198071,0.000198071,0.000198071
81,6222.94,0.8585,0.62644,1.10557,0.77693,0.8279,0.83714,0.55515,1.20318,0.91709,1.34811,0.000189072,0.000189072,0.000189072
82,6299.6,0.85251,0.61129,1.1074,0.82187,0.80025,0.84048,0.57449,1.18264,0.89356,1.31773,0.000180073,0.000180073,0.000180073
83,6376.7,0.85557,0.61871,1.10604,0.82598,0.80197,0.84378,0.5763,1.15393,0.86995,1.31685,0.000171074,0.000171074,0.000171074
